line_no,line,sentiment,label,score
14123,” cried the,4,5 stars,0.3332231
14124,"prince, seeing that Burdovsky was getting excited again, and that the",1,2 stars,0.28351486
14125,rest were preparing to protest.,0,1 star,0.3988898
14126,"“If I say I suspected a fraud, there is",0,1 star,0.6186798
14127,nothing personal in that.,1,2 stars,0.39517328
14128,I had never seen any of you then; I did not,1,2 stars,0.40016276
14129,even know your names; I only judged by Tchebaroff; I am speaking quite,3,4 stars,0.29472858
14130,generally—if you only knew how I have been ‘done’ since I came into my,3,4 stars,0.3141428
14131,fortune!,4,5 stars,0.726176
14132,”,4,5 stars,0.30857787
14133,"“You are shockingly naive, prince,” said Lebedeff’s nephew in mocking",0,1 star,0.43998104
14134,tones.,4,5 stars,0.27729845
14135,"“Besides, though you are a prince and a millionaire, and even though",2,3 stars,0.31612533
14136,"you may really be simple and good-hearted, you can hardly be outside",2,3 stars,0.41814327
14137,"the general law,” Hippolyte declared loudly.",4,5 stars,0.43894443
14138,"“Perhaps not; it is very possible,” the prince agreed hastily, “though",2,3 stars,0.39958724
14139,I do not know what general law you allude to.,2,3 stars,0.38573375
14140,I will go on—only please,2,3 stars,0.26982972
14141,do not take offence without good cause.,0,1 star,0.50520116
14142,I assure you I do not mean to,0,1 star,0.4341955
14143,offend you in the least.,0,1 star,0.393667
14144,"Really, it is impossible to speak three words",0,1 star,0.5861393
14145,sincerely without your flying into a rage!,4,5 stars,0.4767093
14146,At first I was amazed when,2,3 stars,0.35259163
14147,"Tchebaroff told me that Pavlicheff had a son, and that he was in such a",4,5 stars,0.21354789
14148,miserable position.,0,1 star,0.7359546
14149,"Pavlicheff was my benefactor, and my father’s",4,5 stars,0.5257875
14150,friend.,4,5 stars,0.40142503
14151,"Oh, Mr. Keller, why does your article impute things to my",0,1 star,0.4202267
14152,father without the slightest foundation?,2,3 stars,0.26267517
14153,He never squandered the funds,0,1 star,0.38030294
14154,"of his company nor ill-treated his subordinates, I am absolutely",0,1 star,0.28190577
14155,certain of it; I cannot imagine how you could bring yourself to write,2,3 stars,0.4584838
14156,such a calumny!,4,5 stars,0.8650309
14157,But your assertions concerning Pavlicheff are,2,3 stars,0.40550208
14158,absolutely intolerable!,0,1 star,0.9664287
14159,You do not scruple to make a libertine of that,4,5 stars,0.35595053
14160,noble man; you call him a sensualist as coolly as if you were speaking,4,5 stars,0.6603022
14161,"the truth, and yet it would not be possible to find a chaster man.",2,3 stars,0.24578282
14162,He,3,4 stars,0.2655623
14163,"was even a scholar of note, and in correspondence with several",4,5 stars,0.6631985
14164,"celebrated scientists, and spent large sums in the interests of",4,5 stars,0.7118129
14165,science.,4,5 stars,0.25637472
14166,"As to his kind heart and his good actions, you were right",3,4 stars,0.4686703
14167,"indeed when you said that I was almost an idiot at that time, and could",0,1 star,0.2888373
14168,"hardly understand anything—(I could speak and understand Russian,",1,2 stars,0.4079036
14169,"though),—but now I can appreciate what I remember—”",2,3 stars,0.4522188
14170,"“Excuse me,” interrupted Hippolyte, “is not this rather sentimental?",2,3 stars,0.30914316
14171,You said you wished to come to the point; please remember that it is,2,3 stars,0.3051726
14172,after nine o’clock.,0,1 star,0.53320116
14173,”,4,5 stars,0.30857787
14174,"“Very well, gentlemen—very well,” replied the prince.",4,5 stars,0.73290503
14175,“At first I,2,3 stars,0.2786273
14176,"received the news with mistrust, then I said to myself that I might be",0,1 star,0.43083745
14177,"mistaken, and that Pavlicheff might possibly have had a son.",0,1 star,0.43178055
14178,But I was,2,3 stars,0.40317997
14179,absolutely amazed at the readiness with which the son had revealed the,4,5 stars,0.61799496
14180,secret of his birth at the expense of his mother’s honour.,4,5 stars,0.51545167
14181,For,3,4 stars,0.30216274
14182,Tchebaroff had already menaced me with publicity in our interview....,0,1 star,0.4449967
14183,”,4,5 stars,0.30857787
14184,“What nonsense!”,0,1 star,0.71224314
14185,Lebedeff’s nephew interrupted violently.,0,1 star,0.4832236
14186,“You have no right—you have no right!” cried Burdovsky.,0,1 star,0.7072573
14187,“The son is not responsible for the misdeeds of his father; and the,1,2 stars,0.4158624
14188,"mother is not to blame,” added Hippolyte, with warmth.",4,5 stars,0.45790645
14189,"“That seems to me all the more reason for sparing her,” said the prince",4,5 stars,0.2133791
14190,timidly.,1,2 stars,0.3319325
14191,"“Prince, you are not only simple, but your simplicity is almost past",2,3 stars,0.3278462
14192,"the limit,” said Lebedeff’s nephew, with a sarcastic smile.",4,5 stars,0.25683907
14193,“But what right had you?” said Hippolyte in a very strange tone.,2,3 stars,0.3455907
14194,"“None—none whatever,” agreed the prince hastily.",0,1 star,0.31905428
14195,“I admit you are right,4,5 stars,0.6313578
14196,"there, but it was involuntary, and I immediately said to myself that my",1,2 stars,0.36138487
14197,"personal feelings had nothing to do with it,—that if I thought it right",1,2 stars,0.3873855
14198,"to satisfy the demands of Mr. Burdovsky, out of respect for the memory",3,4 stars,0.49381635
14199,"of Pavlicheff, I ought to do so in any case, whether I esteemed Mr.",0,1 star,0.31001016
14200,Burdovsky or not.,1,2 stars,0.30039525
14201,"I only mentioned this, gentlemen, because it seemed",0,1 star,0.2942572
14202,so unnatural to me for a son to betray his mother’s secret in such a,0,1 star,0.5908562
14203,way.,4,5 stars,0.26221046
14204,"In short, that is what convinced me that Tchebaroff must be a",2,3 stars,0.3095019
14205,"rogue, and that he had induced Mr. Burdovsky to attempt this fraud.",0,1 star,0.5939654
14206,”,4,5 stars,0.30857787
14207,"“But this is intolerable!” cried the visitors, some of them starting to",0,1 star,0.7162144
14208,their feet.,3,4 stars,0.3108254
14209,"“Gentlemen, I supposed from this that poor Mr. Burdovsky must be a",0,1 star,0.538804
14210,"simple-minded man, quite defenceless, and an easy tool in the hands of",3,4 stars,0.47773534
14211,rogues.,4,5 stars,0.33600253
14212,That is why I thought it my duty to try and help him as,2,3 stars,0.36307693
14213,‘Pavlicheff’s son’; in the first place by rescuing him from the,4,5 stars,0.39580983
14214,"influence of Tchebaroff, and secondly by making myself his friend.",4,5 stars,0.42004195
14215,I,4,5 stars,0.24874815
14216,have resolved to give him ten thousand roubles; that is about the sum,0,1 star,0.43917635
14217,which I calculate that Pavlicheff must have spent on me.,2,3 stars,0.34823915
14218,”,4,5 stars,0.30857787
14219,"“What, only ten thousand!” cried Hippolyte.",0,1 star,0.6819627
14220,"“Well, prince, your arithmetic is not up to much, or else you are",2,3 stars,0.40430087
14221,"mighty clever at it, though you affect the air of a simpleton,” said",3,4 stars,0.35735568
14222,Lebedeff’s nephew.,4,5 stars,0.389221
14223,"“I will not accept ten thousand roubles,” said Burdovsky.",0,1 star,0.6278805
14224,"“Accept, Antip,” whispered the boxer eagerly, leaning past the back of",4,5 stars,0.38348874
14225,Hippolyte’s chair to give his friend this piece of advice.,4,5 stars,0.4417989
14226,“Take it for,3,4 stars,0.3788168
14227,the present; we can see about more later on.,3,4 stars,0.3912595
14228,”,4,5 stars,0.30857787
14229,"“Look here, Mr. Muishkin,” shouted Hippolyte, “please understand that",0,1 star,0.43649775
14230,"we are not fools, nor idiots, as your guests seem to imagine; these",4,5 stars,0.53562224
14231,"ladies who look upon us with such scorn, and especially this fine",4,5 stars,0.74092525
14232,gentleman”,4,5 stars,0.579608
14233,(pointing to Evgenie Pavlovitch),3,4 stars,0.22886407
14234,“whom I have not the honour,0,1 star,0.410841
14235,"of knowing, though I think I have heard some talk about him—”",2,3 stars,0.44941893
14236,"“Really, really, gentlemen,” cried the prince in great agitation, “you",4,5 stars,0.6297068
14237,are misunderstanding me again.,1,2 stars,0.46850714
14238,"In the first place, Mr. Keller, you have",4,5 stars,0.28132054
14239,greatly overestimated my fortune in your article.,0,1 star,0.47644323
14240,I am far from being a,0,1 star,0.23572761
14241,millionaire.,4,5 stars,0.5504893
14242,I have barely a tenth of what you suppose.,2,3 stars,0.41387677
14243,"Secondly, my",2,3 stars,0.2664759
14244,treatment in Switzerland was very far from costing tens of thousands of,1,2 stars,0.42076147
14245,roubles.,0,1 star,0.35105142
14246,"Schneider received six hundred roubles a year, and he was only",0,1 star,0.56634015
14247,paid for the first three years.,2,3 stars,0.2435479
14248,As to the pretty governesses whom,3,4 stars,0.40951708
14249,"Pavlicheff is supposed to have brought from Paris, they only exist in",0,1 star,0.31567755
14250,Mr. Keller’s imagination; it is another calumny.,4,5 stars,0.47787535
14251,According to my,4,5 stars,0.39380163
14252,"calculations, the sum spent on me was very considerably under ten",1,2 stars,0.444335
14253,"thousand roubles, but I decided on that sum, and you must admit that in",2,3 stars,0.29046878
14254,"paying a debt I could not offer Mr. Burdovsky more, however kindly",1,2 stars,0.3491949
14255,disposed I might be towards him; delicacy forbids it; I should seem to,2,3 stars,0.440876
14256,be offering him charity instead of rightful payment.,0,1 star,0.56616974
14257,I don’t know how,2,3 stars,0.32187456
14258,"you cannot see that, gentlemen!",4,5 stars,0.3122795
14259,"Besides, I had no intention of leaving",0,1 star,0.39445058
14260,the matter there.,3,4 stars,0.34337714
14261,I meant to intervene amicably later on and help to,3,4 stars,0.40721855
14262,improve poor Mr. Burdovsky’s position.,1,2 stars,0.40418312
14263,It is clear that he has been,2,3 stars,0.30665302
14264,"deceived, or he would never have agreed to anything so vile as the",0,1 star,0.66379875
14265,scandalous revelations about his mother in Mr. Keller’s article.,0,1 star,0.540394
14266,"But,",2,3 stars,0.45012242
14267,"gentlemen, why are you getting angry again?",0,1 star,0.42770195
14268,Are we never to come to an,0,1 star,0.43492472
14269,understanding?,1,2 stars,0.27950823
14270,"Well, the event has proved me right!",4,5 stars,0.5764399
14271,I have just seen,2,3 stars,0.24172066
14272,with my own eyes the proof that my conjecture was correct!,4,5 stars,0.5209634
14273,"” he added,",4,5 stars,0.34115914
14274,with increasing eagerness.,3,4 stars,0.3541429
14275,"He meant to calm his hearers, and did not perceive that his words had",2,3 stars,0.36546993
14276,only increased their irritation.,2,3 stars,0.47586855
14277,“What do you mean? What are you convinced of?” they demanded angrily.,0,1 star,0.48063526
14278,"“In the first place, I have had the opportunity of getting a correct",3,4 stars,0.37395334
14279,idea of Mr. Burdovsky.,3,4 stars,0.25966683
14280,I see what he is for myself.,3,4 stars,0.3893359
14281,He is an innocent,0,1 star,0.67587066
14282,"man, deceived by everyone!",0,1 star,0.6855765
14283,"A defenceless victim, who deserves",4,5 stars,0.46948946
14284,indulgence!,4,5 stars,0.49408805
14285,"Secondly, Gavrila Ardalionovitch, in whose hands I had",2,3 stars,0.24169274
14286,"placed the matter, had his first interview with me barely an hour ago.",4,5 stars,0.28326324
14287,"I had not heard from him for some time, as I was away, and have been",4,5 stars,0.26907164
14288,ill for three days since my return to St. Petersburg.,0,1 star,0.54436314
14289,He tells me that,2,3 stars,0.2966527
14290,he has exposed the designs of Tchebaroff and has proof that justifies,3,4 stars,0.4250233
14291,my opinion of him.,3,4 stars,0.32056698
14292,"I know, gentlemen, that many people think me an",4,5 stars,0.32150784
14293,idiot.,4,5 stars,0.5020529
14294,Counting upon my reputation as a man whose purse-strings are,4,5 stars,0.62961364
14295,"easily loosened, Tchebaroff thought it would be a simple matter to",1,2 stars,0.40001875
14296,"fleece me, especially by trading on my gratitude to Pavlicheff.",4,5 stars,0.46960682
14297,But the,2,3 stars,0.41594008
14298,"main point is—listen, gentlemen, let me finish!",0,1 star,0.31270105
14299,—the main point is that,2,3 stars,0.38678277
14300,Mr. Burdovsky is not Pavlicheff’s son at all.,0,1 star,0.4343847
14301,Gavrila Ardalionovitch,3,4 stars,0.29028565
14302,"has just told me of his discovery, and assures me that he has positive",4,5 stars,0.47194538
14303,proofs.,4,5 stars,0.4050328
14304,"Well, what do you think of that?",2,3 stars,0.2342458
14305,"It is scarcely credible, even",1,2 stars,0.38879558
14306,after all the tricks that have been played upon me.,4,5 stars,0.555091
14307,Please note that we,2,3 stars,0.35877222
14308,have positive proofs!,4,5 stars,0.5851949
14309,"I can hardly believe it myself, I assure you; I",1,2 stars,0.27624893
14310,"do not yet believe it; I am still doubtful, because Gavrila",0,1 star,0.35411346
14311,Ardalionovitch has not had time to go into details; but there can be no,2,3 stars,0.43782586
14312,further doubt that Tchebaroff is a rogue!,0,1 star,0.4213477
14313,He has deceived poor Mr.,0,1 star,0.44124356
14314,"Burdovsky, and all of you, gentlemen, who have come forward so nobly to",4,5 stars,0.34010634
14315,"support your friend—(he evidently needs support, I quite see that!).",3,4 stars,0.43400717
14316,He,3,4 stars,0.2655623
14317,"has abused your credulity and involved you all in an attempted fraud,",0,1 star,0.5048513
14318,for when all is said and done this claim is nothing else!,0,1 star,0.4566127
14319,”,4,5 stars,0.30857787
14320,"“What! a fraud? What, he is not Pavlicheff’s son? Impossible!”",0,1 star,0.9188842
14321,These exclamations but feebly expressed the profound bewilderment into,2,3 stars,0.23811759
14322,which the prince’s words had plunged Burdovsky’s companions.,0,1 star,0.3431395
14323,“Certainly it is a fraud!,0,1 star,0.9155271
14324,"Since Mr. Burdovsky is not Pavlicheff’s son,",2,3 stars,0.28216395
14325,his claim is neither more nor less than attempted fraud,0,1 star,0.7665704
14326,"(supposing, of",0,1 star,0.29537532
14327,"course, that he had known the truth), but the fact is that he has been",2,3 stars,0.33834448
14328,deceived.,0,1 star,0.7056672
14329,I insist on this point in order to justify him; I repeat that,2,3 stars,0.30845737
14330,"his simple-mindedness makes him worthy of pity, and that he cannot",3,4 stars,0.30849662
14331,stand alone; otherwise he would have behaved like a scoundrel in this,2,3 stars,0.34961674
14332,matter.,3,4 stars,0.24556352
14333,But I feel certain that he does not understand it!,2,3 stars,0.4250029
14334,I was just,1,2 stars,0.27550805
14335,the same myself before I went to Switzerland; I stammered incoherently;,0,1 star,0.4283451
14336,one tries to express oneself and cannot.,0,1 star,0.5381997
14337,I understand that.,2,3 stars,0.26994312
14338,I am all,4,5 stars,0.66510797
14339,"the better able to pity Mr. Burdovsky, because I know from experience",4,5 stars,0.35453084
14340,"what it is to be like that, and so I have a right to speak.",4,5 stars,0.4951031
14341,"Well,",4,5 stars,0.32576096
14342,"though there is no such person as ‘Pavlicheff’s son,’ and it is all",0,1 star,0.28043997
14343,"nothing but a humbug, yet I will keep to my decision, and I am prepared",3,4 stars,0.5340163
14344,to give up ten thousand roubles in memory of Pavlicheff.,4,5 stars,0.31180033
14345,Before Mr.,0,1 star,0.25760943
14346,"Burdovsky made this claim, I proposed to found a school with this",0,1 star,0.29795423
14347,"money, in memory of my benefactor, but I shall honour his memory quite",3,4 stars,0.4292921
14348,"as well by giving the ten thousand roubles to Mr. Burdovsky, because,",4,5 stars,0.4056319
14349,"though he was not Pavlicheff’s son, he was treated almost as though he",2,3 stars,0.43723822
14350,were.,1,2 stars,0.270404
14351,That is what gave a rogue the opportunity of deceiving him; he,0,1 star,0.23433971
14352,really did think himself Pavlicheff’s son.,2,3 stars,0.23523825
14353,"Listen, gentlemen; this",4,5 stars,0.53498423
14354,matter must be settled; keep calm; do not get angry; and sit down!,4,5 stars,0.6493283
14355,"Gavrila Ardalionovitch will explain everything to you at once, and I",4,5 stars,0.5889091
14356,confess that I am very anxious to hear all the details myself.,4,5 stars,0.37583235
14357,He says,0,1 star,0.3107248
14358,"that he has even been to Pskoff to see your mother, Mr. Burdovsky; she",4,5 stars,0.3628782
14359,"is not dead, as the article which was just read to us makes out.",2,3 stars,0.27839002
14360,Sit,3,4 stars,0.31066802
14361,"down, gentlemen, sit down!",0,1 star,0.6526837
14362,”,4,5 stars,0.30857787
14363,"The prince sat down, and at length prevailed upon Burdovsky’s company",1,2 stars,0.39141935
14364,to do likewise.,3,4 stars,0.3658627
14365,"During the last ten or twenty minutes, exasperated by",0,1 star,0.4904516
14366,"continual interruptions, he had raised his voice, and spoken with great",4,5 stars,0.42311957
14367,vehemence.,0,1 star,0.64826745
14368,"Now, no doubt, he bitterly regretted several words and",0,1 star,0.39372358
14369,expressions which had escaped him in his excitement.,1,2 stars,0.356859
14370,If he had not been,2,3 stars,0.30166414
14371,"driven beyond the limits of endurance, he would not have ventured to",1,2 stars,0.4400106
14372,express certain conjectures so openly.,4,5 stars,0.38041425
14373,He had no sooner sat down than,1,2 stars,0.3324235
14374,his heart was torn by sharp remorse.,1,2 stars,0.43835482
14375,Besides insulting Burdovsky with,0,1 star,0.32191992
14376,"the supposition, made in the presence of witnesses, that he was",0,1 star,0.40107325
14377,suffering from the complaint for which he had himself been treated in,1,2 stars,0.36373666
14378,"Switzerland, he reproached himself with the grossest indelicacy in",0,1 star,0.48235446
14379,having offered him the ten thousand roubles before everyone.,0,1 star,0.28020242
14380,“I ought,4,5 stars,0.26833203
14381,to have waited till to-morrow and offered him the money when we were,0,1 star,0.2664114
14382,"alone,” thought Muishkin.",0,1 star,0.2607448
14383,"“Now it is too late, the mischief is done!",0,1 star,0.43600437
14384,"Yes, I am an idiot, an absolute idiot!",4,5 stars,0.49556258
14385,"” he said to himself, overcome",0,1 star,0.5323872
14386,with shame and regret.,0,1 star,0.4101117
14387,Till then Gavrila Ardalionovitch had sat apart in silence.,0,1 star,0.31466514
14388,When the,2,3 stars,0.25239784
14389,"prince called upon him, he came and stood by his side, and in a calm,",4,5 stars,0.598397
14390,clear voice began to render an account of the mission confided to him.,3,4 stars,0.47214875
14391,All conversation ceased instantly.,0,1 star,0.72860426
14392,"Everyone, especially the Burdovsky",4,5 stars,0.31773221
14393,"party, listened with the utmost curiosity.",4,5 stars,0.6083618
14394,IX.,3,4 stars,0.25537473
14395,"“You will not deny, I am sure,” said Gavrila Ardalionovitch, turning to",4,5 stars,0.25304765
14396,"Burdovsky, who sat looking at him with wide-open eyes, perplexed and",0,1 star,0.44145334
14397,astonished.,4,5 stars,0.44721973
14398,"“You will not deny, seriously, that you were born just two",0,1 star,0.39675042
14399,"years after your mother’s legal marriage to Mr. Burdovsky, your father.",4,5 stars,0.47098193
14400,Nothing would be easier than to prove the date of your birth from,1,2 stars,0.34693822
14401,well-known facts; we can only look on Mr. Keller’s version as a work of,3,4 stars,0.43522748
14402,"imagination, and one, moreover, extremely offensive both to you and",0,1 star,0.45936567
14403,your mother.,4,5 stars,0.5064403
14404,Of course he distorted the truth in order to strengthen,2,3 stars,0.36542824
14405,"your claim, and to serve your interests.",4,5 stars,0.514095
14406,Mr. Keller said that he,0,1 star,0.34523177
14407,"previously consulted you about his article in the paper, but did not",0,1 star,0.34496814
14408,read it to you as a whole.,4,5 stars,0.4758503
14409,Certainly he could not have read that,1,2 stars,0.36580408
14410,passage...”,2,3 stars,0.23676473
14411,"“As a matter of fact, I did not read it,” interrupted the boxer, “but",0,1 star,0.46665302
14412,"its contents had been given me on unimpeachable authority, and I...”",0,1 star,0.5324818
14413,"“Excuse me, Mr. Keller,” interposed Gavrila Ardalionovitch.",4,5 stars,0.35281488
14414,“Allow me,4,5 stars,0.36162677
14415,to speak.,4,5 stars,0.4531188
14416,I assure you your article shall be mentioned in its proper,4,5 stars,0.31016037
14417,"place, and you can then explain everything, but for the moment I would",2,3 stars,0.45842737
14418,rather not anticipate.,2,3 stars,0.45401803
14419,"Quite accidentally, with the help of my sister,",0,1 star,0.27530244
14420,"Varvara Ardalionovna Ptitsin, I obtained from one of her intimate",4,5 stars,0.4019574
14421,"friends, Madame Zoubkoff, a letter written to her twenty-five years",4,5 stars,0.59567463
14422,"ago, by Nicolai Andreevitch Pavlicheff, then abroad.",1,2 stars,0.21980427
14423,After getting into,3,4 stars,0.24233213
14424,"communication with this lady, I went by her advice to Timofei",4,5 stars,0.414387
14425,"Fedorovitch Viazovkin, a retired colonel, and one of Pavlicheff’s",3,4 stars,0.3572345
14426,oldest friends.,4,5 stars,0.4700749
14427,He gave me two more letters written by the latter when,1,2 stars,0.32554182
14428,he was still in foreign parts.,1,2 stars,0.32060182
14429,"These three documents, their dates, and",4,5 stars,0.4361337
14430,"the facts mentioned in them, prove in the most undeniable manner, that",2,3 stars,0.23234755
14431,"eighteen months before your birth, Nicolai Andreevitch went abroad,",4,5 stars,0.41879275
14432,where he remained for three consecutive years.,2,3 stars,0.29407576
14433,"Your mother, as you are",4,5 stars,0.5765032
14434,"well aware, has never been out of Russia....",4,5 stars,0.6773569
14435,It is too late to read the,1,2 stars,0.4246354
14436,letters now; I am content to state the fact.,3,4 stars,0.44779634
14437,"But if you desire it, come",2,3 stars,0.42762494
14438,"to me tomorrow morning, bring witnesses and writing experts with you,",4,5 stars,0.66462487
14439,and I will prove the absolute truth of my story.,4,5 stars,0.7788081
14440,From that moment the,4,5 stars,0.3946696
14441,question will be decided.,2,3 stars,0.38050228
14442,”,4,5 stars,0.30857787
14443,"These words caused a sensation among the listeners, and there was a",0,1 star,0.40833628
14444,general movement of relief.,3,4 stars,0.42458773
14445,Burdovsky got up abruptly.,1,2 stars,0.44046554
14446,"“If that is true,” said he, “I have been deceived, grossly deceived,",0,1 star,0.8073487
14447,"but not by Tchebaroff: and for a long time past, a long time.",2,3 stars,0.38207102
14448,I do not,0,1 star,0.5664373
14449,"wish for experts, not I, nor to go to see you.",0,1 star,0.33636862
14450,I believe you.,4,5 stars,0.6254024
14451,I give it,4,5 stars,0.39499933
14452,up....,2,3 stars,0.39313734
14453,But I refuse the ten thousand roubles.,1,2 stars,0.32613894
14454,Good-bye.,4,5 stars,0.5131428
14455,”,4,5 stars,0.30857787
14456,"“Wait five minutes more, Mr. Burdovsky,” said Gavrila Ardalionovitch",0,1 star,0.4448593
14457,pleasantly.,3,4 stars,0.48312443
14458,“I have more to say.,4,5 stars,0.27857715
14459,Some rather curious and important,2,3 stars,0.63875866
14460,"facts have come to light, and it is absolutely necessary, in my",4,5 stars,0.6869156
14461,"opinion, that you should hear them.",3,4 stars,0.2672974
14462,"You will not regret, I fancy, to",4,5 stars,0.59852463
14463,have the whole matter thoroughly cleared up.,4,5 stars,0.50471574
14464,”,4,5 stars,0.30857787
14465,"Burdovsky silently resumed his seat, and bent his head as though in",0,1 star,0.49984336
14466,profound thought.,4,5 stars,0.5661996
14467,"His friend, Lebedeff’s nephew, who had risen to",3,4 stars,0.3654928
14468,"accompany him, also sat down again.",4,5 stars,0.51554585
14469,"He seemed much disappointed, though",1,2 stars,0.47957358
14470,as self-confident as ever.,4,5 stars,0.8563379
14471,"Hippolyte looked dejected and sulky, as well",0,1 star,0.446347
14472,as surprised.,4,5 stars,0.6823462
14473,"He had just been attacked by a violent fit of coughing,",0,1 star,0.4480912
14474,so that his handkerchief was stained with blood.,2,3 stars,0.38625166
14475,The boxer looked,3,4 stars,0.25927418
14476,thoroughly frightened.,4,5 stars,0.8060784
14477,"“Oh, Antip!” cried he in a miserable voice, “I did say to you the other",0,1 star,0.7721609
14478,day—the day before yesterday—that perhaps you were not really,3,4 stars,0.2913974
14479,Pavlicheff’s son!,4,5 stars,0.50649285
14480,”,4,5 stars,0.30857787
14481,There were sounds of half-smothered laughter at this.,0,1 star,0.46165273
14482,"“Now, that is a valuable piece of information, Mr. Keller,” replied",4,5 stars,0.37761885
14483,Gania.,2,3 stars,0.25650844
14484,"“However that may be, I have private information which convinces",2,3 stars,0.4421073
14485,"me that Mr. Burdovsky, though doubtless aware of the date of his birth,",2,3 stars,0.34078002
14486,knew nothing at all about Pavlicheff’s sojourn abroad.,0,1 star,0.5319621
14487,"Indeed, he",2,3 stars,0.25587797
14488,"passed the greater part of his life out of Russia, returning at",1,2 stars,0.3608717
14489,intervals for short visits.,2,3 stars,0.36380753
14490,The journey in question is in itself too,2,3 stars,0.3717721
14491,unimportant for his friends to recollect it after more than twenty,1,2 stars,0.34373084
14492,"years; and of course Mr. Burdovsky could have known nothing about it,",1,2 stars,0.3138879
14493,for he was not born.,0,1 star,0.44075617
14494,"As the event has proved, it was not impossible to",2,3 stars,0.3484208
14495,"find evidence of his absence, though I must confess that chance has",2,3 stars,0.3906232
14496,helped me in a quest which might very well have come to nothing.,3,4 stars,0.441778
14497,It was,2,3 stars,0.25540027
14498,really almost impossible for Burdovsky or Tchebaroff to discover these,0,1 star,0.51448
14499,"facts, even if it had entered their heads to try.",2,3 stars,0.26069263
14500,Naturally they never,0,1 star,0.34614727
14501,dreamt...”,4,5 stars,0.51215816
14502,Here the voice of Hippolyte suddenly intervened.,2,3 stars,0.2564574
14503,"“Allow me, Mr. Ivolgin,” he said irritably.",0,1 star,0.4965538
14504,“What is the good of all,4,5 stars,0.7553683
14505,this rigmarole?,0,1 star,0.43796316
14506,Pardon me.,0,1 star,0.57513404
14507,"All is now clear, and we acknowledge the",4,5 stars,0.5991915
14508,truth of your main point.,4,5 stars,0.3418427
14509,Why go into these tedious details?,0,1 star,0.4115105
14510,You wish,2,3 stars,0.23924868
14511,"perhaps to boast of the cleverness of your investigation, to cry up",2,3 stars,0.3097777
14512,your talents as detective?,2,3 stars,0.25225538
14513,Or perhaps your intention is to excuse,0,1 star,0.30662596
14514,"Burdovsky, by proving that he took up the matter in ignorance?",0,1 star,0.30531928
14515,"Well, I",4,5 stars,0.27379176
14516,consider that extremely impudent on your part!,4,5 stars,0.47708374
14517,You ought to know that,4,5 stars,0.25195357
14518,Burdovsky has no need of being excused or justified by you or anyone,0,1 star,0.2683092
14519,else!,0,1 star,0.34375206
14520,It is an insult!,0,1 star,0.84256226
14521,The affair is quite painful enough for him,1,2 stars,0.46512172
14522,without that.,2,3 stars,0.2883394
14523,Will nothing make you understand?,0,1 star,0.3345236
14524,”,4,5 stars,0.30857787
14525,"“Enough! enough! Mr. Terentieff,” interrupted Gania.",2,3 stars,0.23580155
14526,"“Don’t excite yourself; you seem very ill, and I am sorry for that.",0,1 star,0.50827146
14527,I,4,5 stars,0.24874815
14528,"am almost done, but there are a few facts to which I must briefly",2,3 stars,0.48681602
14529,"refer, as I am convinced that they ought to be clearly explained once",2,3 stars,0.29033104
14530,for all....,0,1 star,0.30026415
14531,” A movement of impatience was noticed in his audience as he,3,4 stars,0.35060605
14532,"resumed: “I merely wish to state, for the information of all concerned,",0,1 star,0.33260396
14533,"that the reason for Mr. Pavlicheff’s interest in your mother, Mr.",2,3 stars,0.2587902
14534,"Burdovsky, was simply that she was the sister of a serf-girl with whom",1,2 stars,0.28607574
14535,"he was deeply in love in his youth, and whom most certainly he would",4,5 stars,0.5019917
14536,have married but for her sudden death.,2,3 stars,0.33775187
14537,I have proofs that this,4,5 stars,0.24149957
14538,"circumstance is almost, if not quite, forgotten.",2,3 stars,0.43995076
14539,I may add that when,2,3 stars,0.45632914
14540,"your mother was about ten years old, Pavlicheff took her under his",4,5 stars,0.35481492
14541,"care, gave her a good education, and later, a considerable dowry.",3,4 stars,0.5121898
14542,His,4,5 stars,0.32745382
14543,"relations were alarmed, and feared he might go so far as to marry her,",1,2 stars,0.44077384
14544,but she gave her hand to a young land-surveyor named Burdovsky when she,2,3 stars,0.37002298
14545,reached the age of twenty.,2,3 stars,0.2430224
14546,I can even say definitely that it was a,4,5 stars,0.38337904
14547,marriage of affection.,4,5 stars,0.43043604
14548,After his wedding your father gave up his,4,5 stars,0.2822647
14549,"occupation as land-surveyor, and with his wife’s dowry of fifteen",3,4 stars,0.34867072
14550,thousand roubles went in for commercial speculations.,0,1 star,0.45817593
14551,As he had had no,4,5 stars,0.38866308
14552,"experience, he was cheated on all sides, and took to drink in order to",0,1 star,0.44382527
14553,forget his troubles.,0,1 star,0.29431272
14554,"He shortened his life by his excesses, and eight",0,1 star,0.49088997
14555,years after his marriage he died.,1,2 stars,0.2999372
14556,Your mother says herself that she was,0,1 star,0.30445403
14557,"left in the direst poverty, and would have died of starvation had it",0,1 star,0.5175737
14558,"not been for Pavlicheff, who generously allowed her a yearly pension of",0,1 star,0.42877948
14559,six hundred roubles.,4,5 stars,0.5136402
14560,Many people recall his extreme fondness for you as,4,5 stars,0.5074404
14561,a little boy.,4,5 stars,0.40969327
14562,"Your mother confirms this, and agrees with others in",4,5 stars,0.6273931
14563,"thinking that he loved you the more because you were a sickly child,",4,5 stars,0.3816611
